ASCII	x1 	y1 	x2	y2	offset
33	850	625	860	545	0
63	795	625	825	545	0
65	0	105	70	30	0
66	80	105	140	30	0
67	150	105	215	30	0
68	230	105	295	30	0
69	310	105	360	30	0
70	380	105	430	30	0
71	435	105	500	30	0
72	520	105	580	30	0
73	595	105	625	30	0	
74	635	105	670	30	0
75	690	105	750	30	0
76	765	105	815	30	0
77	825	105	890	30	0
78	915	105	970	30	0
79	5	240	75	160	0
80	90	240	140	160	0
81	150	255	225	160	15
82	235	240	300	160	0
83	310	240	365	160	0
84	375	240	440	160	0
85	450	240	510	160	0
86	518	240	590	160	0	
87	595	240	690	160	0
88	700	240	765	160	0
89	770	240	835	160	0
90	840	240	900	160	0
91	690	645	720	545	0
92	0	768	45	670	0
93	735	645	765	545	0
97	910	240	960	175	0
98	10	365	60	285	0
99	70	365	115	285	0
100	125	365	175	285	0	
101	190	365	240	285	0
102	250	365	290	285	0
103	295	385	340	310	25
104	365	365	410	285	0
105	430	365	440	285	0
106	445	385	475	285	20
107	495	365	545	285	0
108	560	365	565	285	0
109	590	365	670	305	0
110	690	365	740	305	0	
111	755	365	805	305	0
112	820	385	870	305	20	
113	885	385	935	305	20	
114	955	365	990	305	0
115	5	495	50	435	0
116	55	495	95	420	0
117	105	495	150	435	0	
118	165	495	220	435	0
119	230	495	310	435	0
120	315	495	370	435	0
121	380	515	435	435	20
122	445	495	490	435	0
123	555	645	605	545	0
124	65	768	75	670	0
125	620	645	670	545	0
40	460	645	490	545	0
41	505	645	535	545	0
42	340	590	395	545	0
43	210	620	275	560	0
44	915	640	940	610	0
45	295	595	330	585	0
46	890	620	900	610	0
47	400	640	445	545	0
48	500	495	555	415	0
49	575	495	615	415	0
50	635	495	690	415	0
51	705	495	755	415	0
52	765	495	825	415	0
53	845	495	890	415	0
54	905	495	960	415	0
55	5	625	60	545	0
56	70	625	125	545	0
57	140	625	190	545	0
0	90	768	150	670	0
